Product_Name,Brand,Price,Rating
Crucial Ballistix 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28800) Desktop Memory Model BL2K8G36C16U4W,Crucial,"7,024",5
Crucial Ballistix 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4 24000) Desktop Memory Model BL2K8G30C15U4W,Crucial,"5,699",5
OLOy WarHawk RGB 64GB (2 x 32GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Desktop Memory Model MD4U323216DEDA,OLOy,"22,122",5
CORSAIR Vengeance RGB Pro 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28800) Desktop Memory Model CMW32GX4M2Z3600C18,Corsair,"13,240",5
OLOy 16GB 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Desktop Memory Model MD4U163216CGSA,OLOy,"5,472",5
OLOy 64GB (2 x 32GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Desktop Memory Model MD4U323216DJDA,OLOy,"20,767",5
G.SKILL Trident Z Royal Series 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 4000 (PC4 32000) Desktop Memory Model F4-4000C18Q-32GTRS,G.SKILL,"22,038",5
CORSAIR Vengeance RGB Pro 64GB (2 x 32GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Desktop Memory Model CMW64GX4M2E3200C16,Corsair,"25,217",5
OLOy 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28800) Desktop Memory Model MD4U1636181CHRDA,OLOy,"10,868",3
G.SKILL Trident Z Neo Series 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3800 (PC4 30400) Desktop Memory Model F4-3800C14D-16GTZN,G.SKILL,"18,238",5
G.SKILL Trident Z Neo Series 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 3800 (PC4 30400) Desktop Memory Model F4-3800C14Q-32GTZN,G.SKILL,"36,477",5
G.SKILL Trident Z Royal Series 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 4000 (PC4 32000) Desktop Memory Model F4-4000C18D-16GTRG,G.SKILL,"10,693",5
G.SKILL Aegis 16GB 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Desktop Memory Model F4-3200C16S-16GIS,G.SKILL,"5,061",5
OLOy 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28800) Desktop Memory Model MD4U1636181CHKDA,OLOy,"10,868",4
G.SKILL Trident Z Royal Series 64GB (4 x 16GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28800) Desktop Memory Model F4-3600C16Q-64GTRSC,G.SKILL,"32,479",5
G.SKILL Trident Z Royal Series 128GB (4 x 32GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Desktop Memory Model F4-3200C16Q-128GTRS,G.SKILL,"51,917",5
OLOy 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Desktop Memory Model MD4U163216CFDA,OLOy,"9,064",4
